Год,Выпуск,Первая страница,Всего страниц,Название,Рубрика,Авторы,Художники,Дополнительно,Броская фраза,входит в сэмпл?,теги,ответы,сложность
2020,7,24,2,LXXXVI Санкт-Петербургская олимпиада по математике. Избранные задачи городского тура,Олимпиады,материал подготовил: Константин Кохась,Сергей Чуб,,Избранные задачи LXXXVI Санкт-Петербургской олимпиады,,,,
2020,7,26,1,"Конкурс по русскому языку, III тур",Олимпиады,11: С.В.Дьяченко; 12: С.Л.Елисеев; 13:И.Б.Иткин; 14: С.И.Переверзева; 15:Т.Г.Пшеницын,Николай Крутиков,,Новый тур конкурса по русскому языку,,,,
2020,7,27,5,"Ответы, указания, решения",Ответы,,,,,,,,
2020,7,32,2,Наш конкурс,Олимпиады,"51,53: Александр Домашенко ; 52,54:Михаил Евдокимов; 55: Алексей Воропаев",Николай Крутиков,,,да,,,
2020,7,34,1,Прозрачный бак?,Задачи в картинках,Валерия Сирота,Мария Усеинова,,Может ли металлический бак стать прозрачным?,да,физика,,
2020,6,-1,1,Обложка,,,Алексей Вайнер,,,да,,,
2020,6,2,5,Слова на ленте. Окончание.,Математические сюрпризы,Виктор Клепцын,Мария Усеинова,,Самоповторяющееся слово Трибоначчи и фрактал Рози,,логика,,
2020,6,7,5,Почтовое занятие.,Математический кружок,Игорь Акулич,Алексей Вайнер,,От почтового конверта к обходу мостов: эйлеровость и кэрролловость,,графы,,
2020,6,12,2,Новый физический фейерверк,Что почитать?,,Артём Костюкевич,,"Четыре оптические задачи из ""Нового физического фейерверка""",да,физика,,
2020,6,14,2,Исподвыподверта.,Чудеса лингвистики,Ольга Кузнецова,Ольга Демидова,,"""Кручёные"" слова",да,,,
2020,6,16,2,Пространственное воображение.,Четыре задачи,Аркадий Скопенков,Мария Усеинова,,Четыре задачи на пространственное воображение,да,стереометрия,,
2020,6,18,6,Чья площадь больше?,Математические сказки,Константин Кохась,Инга Коржнева,,Бусенька и парадоксы измерения площади,,логика,,
2020,6,24,2,"Утконос, паук-муравьед, акула.",Две трети правды,Сергей Федин,Капыч,,Три истории про животных: найдите вымышленную,,,,
2020,6,26,2,Избранные задачи конкурса «Кенгуру-2019»,Олимпиады,материал подготовил: Дмитрий Максимов,Сергей Чуб,,Избранные задачи конкурса «Кенгуру-2019»,,,,
2020,6,28,1,"Попробуй, перестрой-ка!",Игры и головоломки,Виктор Красноухов,Евгений Паненко,,Разбейте симметричную фигуру на одинаковые полимино и соберите другую симметричную фигуру,,комбигеом,,
2020,6,29,3,"Ответы, указания, решения",Ответы,,,,,,,,
2020,6,32,2,Наш конкурс,Олимпиады,"46 : Мария Ахмеджанова ; 47, 48 : Михаил Евдокимов ; 49 : Сергей Костин ; 50 : Джон Конвей",Николай Крутиков,,,да,,,
2020,6,34,1,«Правобокая» машина и преступник,Задачи в картинках,По задаче: Руфуса Айзекса,Николай Воронцов,,"Ловим преступника, соблюдая правила дорожного движения",да,игры,,
2020,5,-1,1,Обложка,,,Алексей Вайнер,,,да,,,
2020,5,2,6,Слова на ленте.,Математические сюрпризы,Виктор Клепцын,Мария Усеинова,,Самоповторяющееся слово Фибоначчи и непериодические мозаики,,логика,,
2020,5,8,3,"Эйнштейн, чашка чая и картезианская медуза.",Опыты и эксперименты,Алексей Панов,Евгений Паненко,,"Спасаем водолаза и медузу, вспоминая задачу Эйнштейна о чаинках",да,физика,,
2020,5,11,3,Как разрезать верблюда?,Математический кружок,Григорий Мерзон,Алексей Вайнер,,Как превратить верблюда в квадрат?,да,комбигеом,,
2020,5,14,2,Память снова подвела.,Улыбнись,Игорь Акулич,Екатерина Ладатко,,Новое прочтение автобиографичных чисел,,арифметика,,
2020,5,16,2,Задачи про плотность.,Четыре задачи,Валерия Сирота,Мария Усеинова,,"Измеряем плотность, когда это непросто",,физика,,
2020,5,18,1,Хлебобуквенные изделия.,Чудеса лингвистики,Ольга Кузнецова,Ольга Демидова,,"Рогалики, козинаки и баранки - какое название произошло от животных?",,,,
2020,5,19,1,Маменькины словечки.,Чудеса лингвистики,Ольга Кузнецова,Ольга Демидова,,"Как связаны слова ""метро"", ""митрополит"", ""перламутр"" и ""материя""?",,,,
2020,5,20,2,Гексамино: три задачи.,Игры и головоломки,Владимир Красноухов,Алексей Вайнер,,Три головоломки из гексамино,,комбигеом,,
2020,5,22,3,Две большие разницы,Математический кружок,Игорь Акулич,Мария Усеинова,,Как неправильно определить скорость стрелок часов и что из этого получится,,"часы, стрелки",,
2020,5,25,1,LXXXIII Московская математическая олимпиада: избранные задачи 8 класса,Олимпиады,,Сергей Чуб,,Избранные задачи Московской математической олимпиады,,,,
2020,5,26,2,"XLI Турнир городов, весенний тур, 8-9 классы",Олимпиады,,Сергей Чуб,,Весенний тур XLI Турнира городов,,,,
2020,5,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2020,5,32,2,Наш конкурс,Олимпиады,"41, 43: Михаил Евдокимов ; 42 : Сергей Дворянинов ; 44 : Игорь Акулич, Максим Прасолов ; 45 : Сергей Костин",Николай Крутиков,,,да,,,
2020,5,34,1,Остриём вниз,Задачи в картинках,Лев Емельянов,Елена Цветаева,,Почему эти два дорожных знака повёрнуты остриём вниз?,да,смекалка,,
2020,4,-1,1,Обложка,,,Евгений Паненко,,,да,,,
2020,4,2,6,"Об укладке блинов, котлет и апельсинов",Математический кружок,Сергей Дориченко,Мария Усеинова,,"Блинная, котлетная и апельсинная теоремы",,планиметрия,,
2020,4,8,2,Многогранник из семиугольников?,Математические сюрпризы,Григорий Мерзон,Алексей Вайнер,,Собираем многогранник из семиугольников!,да,стереометрия,,
2020,4,10,6,Ву Цзяньсюн: королева лаборатории,Великие умы,Марина Молчанова,,,Ву Цзяньсюн - королева ядерных исследований,,физика,,
2020,4,16,2,Деревья и их измерения,Четыре задачи,Валерия Сирота,Мария Усеинова,,Деревья: решаем задачи о них или с их помощью,да,физика,,
2020,4,18,5,"История о подъёмной силе крыла, или Как пользователи интернета спорили друг с другом",Как это устроено,Андрей Щетников,Алексей Вайнер,,Почему самолёт летает?,,физика,,
2020,4,23,1,Медвежий угол - 2,Игры и головоломки,Владимир Красноухов,Евгений Паненко,,"Головоломка о ""лишней"" детали: неужели влезет?",,"комбигеом, головоломки",,
2020,4,24,2,"Журналу ""Квант"" - 50 лет!",,,,,"Журналу ""Квант"" - 50 лет!",да,,,
2020,4,26,2,XXXI Математический праздник. Избранные задачи,Олимпиады,,Сергей Чуб,,Избранные задачи XXXI Математического праздника,,,,
2020,4,28,1,Конкурс по русскому языку. II тур,Олимпиады,6 : С.В.Дьяченко ; 7: А.И.Иткин ;8: А.И.Иткин; 9: С.И.Переверзева; 10: А.А.Плетнёва,Николай Крутиков,,Новый тур конкурса по русскому языку,,,,
2020,4,29,3,"Ответы, указания, решения",Ответы,,,,,,,,
2020,4,32,2,Наш конкурс,Олимпиады,36: Григорий Гальперин; 37: Александр Перепечко; 39: Сергей Дворянинов; 40: Борис Френкин,Николай Крутиков,,,да,,,
2020,4,34,1,Парадокс средней средней скорости,Задачи в картинках,Александр Бердников,Елена Цветаева,,Что такое средняя средняя скорость?,да,арифметика,,
