выпуск,первая,всего,название,рубрика,авторы,художники,дополнительно,броская,теги,сложность,год
4,14,2,Центр тяжести,Оглянись вокруг,Сергей Дворянинов,Татьяна Ахметгалиева,,,физика,,2014
4,16,2,Механизмы,Задачи в картинках,{ Автор и художник : Yustas-07 } ; { Задачи выбирали : Александр Бердников ; Григорий Фельдман},Yustas-07,,Тест на механическое мышление.,"логика, физика",,2014
5,6,3,Объяснение опытов 1 и 2,Четыре стихии Эмпедокла,Константин Богданов,Артём Костюкевич,,"Новые опыты из рубрики ""Четыре стихии Эмпедокла""! А также объяснения предыдущих.",физика,,2014
5,9,1,Опыт 3,Четыре стихии Эмпедокла,Константин Богданов,Артём Костюкевич,,,физика,,2014
5,18,3,Тенсегрити,Своими руками,Максим Прасолов,Анна Берналь,"Фото: Саку Такакусаки, викимедия;  Фото: TensegrityWiki, flickr.com; Фото: Садао Хотта; Фото: Elver, flickr.com",Тенсегрити: легко и прочно.,физика,,2014
5,21,1,Двойной выхлоп. Призрачные узоры,Задачи в картинках,Александр Бердников,Максим Акульшин,,,"физика, смекалка",,2014
6,4,2,Объяснение опыта 3,Четыре стихии Эмпедокла,Константин Богданов,Артём Костюкевич,,Почему поют бокалы?,физика,,2014
6,5,1,Опыт 4,Четыре стихии Эмпедокла,Константин Богданов,Артём Костюкевич,,,физика,,2014
6,6,4,Лошадь не ест салата из огурцов,Великие умы,Борис Дружинин,,"Фото:  Викимедия, Travok3, Фото: Викимедия, James Michael DuPont; Фото: Викимедия, Geez-oz; Фото: Викимедия, Travok3; Фото: Викимедия, James  Michael DuPont",Телефон: долгий путь от открытия до работающей модели.,физика,,2014
6,19,1,Диск с грузом,Опыты и эксперименты,Александр Северинов ; Никита Грушецкий ; Андрей Щетников,Tory Polska,,,физика,,2014
7,8,3,Объяснение опыта 4,Четыре стихии Эмпедокла,,Артём Костюкевич,,,физика,,2014
7,10,1,Опыт 5,Четыре стихии Эмпедокла,,Артём Костюкевич,,,физика,,2014
8,2,3,Объяснение опыта 5,Четыре стихии Эмпедокла,,Артём Костюкевич,,,физика,,2014
8,4,1,Опыт 6,Четыре стихии Эмпедокла,,Артём Костюкевич,,,физика,,2014
8,11,3,Мыльные пузыри и хорды,Смотри!,Александр Шень,Максим Калякин,Фото: Александр Бердников,Решаем планиметрическую задачу с помощью мыльных пузырей.,"физика, стереометрия",,2014
8,16,2,Лампочки,Четыре задачи,Борис Дружинин,Анна Горлач,,"В рубрике ""Четыре задачи"": лампочки и переключатели.","логика, смекалка, физика",,2014
8,20,2,Процарапанная голограмма,Опыты и эксперименты,Вячеслав Чернов ; Андрей Щетников,Евгений Паненко,Фото: нет ссылок,Как сделать голограмму дома.,"физика, стереометрия",,2014
9,12,1,Тени,Задачи в картинках,Александр Бердников,Евгений Паненко,Фото: нет ссылок,,физика,,2014
9,23,3,Пипета,Своими руками,Александр Бердников,Артём Костюкевич,Фото: Лидия Широнина,"Дырка, через которую не вытекает вода: невероятные опыты своими руками!",физика,,2014
9,26,2,"Старейший, известнейший опыт",Нам пишут,Михаил Старшов,Артём Костюкевич,Фото: нет ссылок,,физика,,2014
10,2,6,Из жизни маятников,Оглянись вокруг,Вера Башмакова ; Александр Доброчаев,Ольга Демидова,,Как зависит период колебания маятника от его длины?,физика,,2014
10,8,1,Касательные и радиусы,Задачи в картинках,Александр Бердников,Евгений Паненко,,,физика,,2014
10,16,2,Сосуды с секретом,Четыре задачи,{ Материал подготовил : Григорий Фельдман },Анна Горлач,,Разгадай секрет сосуда!,"физика, смекалка",,2014
11,2,5,Глаза цвета неба,Оглянись вокруг,Александр Бердников,Анна Горлач,Фото: нет ссылок,"Почему небо днём голубое, а на закате - красное?",физика,,2014
12,2,2,Луч света,Оглянись вокруг,Александр Бердников,Анна Горлач,,"Что делать, если случайно перехватил закодированное сообщение, неизвестно от кого и кому?","физика, смекалка",,2014
12,14,1,Фонарик-светлячок,Нам пишут,Дмитрий Панов,Татьяна Долгая,Фото: нет ссылок,Конструктор из батареек и светодиодов.,"физика, планиметрия",,2014
12,15,1,Вифлеемская звезда,Нам пишут,Андрей Андреев ; Алексей Панов ; Дмитрий Панов,Татьяна Долгая,,,"физика, планиметрия",,2014
1,6,4,Интерференция в домашних условиях. Плёнки и антиплёнки,Своими руками,Александр Бердников,Ольга Демидова,Фото: нет ссылок,"Интерференция в домашних условиях(три видео: [1](https://www.youtube.com/watch?v=4jOtoskfouU), [2](https://www.youtube.com/watch?v=P4A5-bUI8MY), [3](https://www.youtube.com/watch?v=uytKBMZtf-w)).",физика,,2015
2,14,2,Поющий алюминий,Опыты и эксперименты,Михаил Старшов,Ольга Демидова,,Маленький колокол своими руками.,физика,,2015
3,5,1,Меня нет дома,Улыбнись,,Александра Будилкина,,Несколько слов об Андре-Мари Ампере.,физика,,2015
3,6,5,Машинная точность,Опыты и эксперименты,Александр Бердников,Артём Костюкевич,Фото: нет ссылок,Как невооружённым глазом увидеть в каком порядке появляются цифры на электронном табло? Видео к статье: [1](https://www.youtube.com/watch?v=exc5FUk-7y8) [2](https://www.youtube.com/watch?v=iNzUzPbfR5k) [3](https://www.youtube.com/watch?v=UChvqobHLtI) [4](https://www.youtube.com/watch?v=aekhbr68usc).,"физика, иллюзии",,2015
3,14,2,Вдоль по лунной дорожке,Как это устроено,Александр Бердников,Евгений Паненко,Фото: нет ссылок,О световых столбах и дорожках.,физика,,2015
3,34,1,На первый-второй рассчитайсь!,Задачи в картинках,,Максим Калякин,,,физика,,2015
4,6,3,Поющая травинка и Такомский мост,Как это устроено,Андрей Щетников,Артём Костюкевич,Фото: нет ссылок,Чем разрушение Такомского моста похоже на поющую травинку ([замедленная съёмка](https://www.youtube.com/watch?v=Y9-W9BaAyww))?,физика,,2015
4,34,1,«Круглый кубик»,Задачи в картинках,,Максим Калякин,,Можно ли сделать игральный кубик сферическим?,физика,,2015
5,9,1,Световая окружность,Опыты и эксперименты,Андрей Щетников,Евгений Паненко,,Опыт с лазером и иглой: световая окружность.,"физика, стереометрия",,2015
6,5,1,Цветные тени,Задачи в картинках,Александр Бердников,Инга Коржнева,,Как по цвету теней определить цвет прожекторов?,физика,,2015
6,12,4,Игрушечное судно на воздушной подушке,Опыты и эксперименты,Андрей Щетников,Анна Горлач,,"Вы знали, что судно на воздушной подушке может скользить по потолку, не падая?",физика,,2015
